SampleID,HC,MC,LC,WC,EO,Final,AGR_orig,EOR_orig,AGR_layered,EOR_layered,Coverage
1,8,9,0,18,11,17,1.000000,0.578947,1.000000,0.105263,0.894737
2,7,6,3,11,10,13,0.700000,0.588235,0.812500,0.235294,0.764706
3,12,5,10,26,10,17,0.545455,0.454545,0.629630,0.227273,0.772727
4,10,11,12,16,12,21,0.454545,0.545455,0.636364,0.045455,0.954545
5,12,4,5,7,5,16,0.705882,0.294118,0.761905,0.058824,0.941176
6,3,5,0,4,16,8,1.000000,0.842105,1.000000,0.578947,0.421053
7,6,9,0,10,15,15,1.000000,0.714286,1.000000,0.285714,0.714286
8,11,5,5,21,9,16,0.687500,0.450000,0.761905,0.200000,0.800000
9,11,4,5,22,9,15,0.687500,0.450000,0.750000,0.250000,0.750000
10,7,4,2,8,10,11,0.777778,0.588235,0.846154,0.352941,0.647059
11,8,4,6,16,9,12,0.571429,0.529412,0.666667,0.294118,0.705882
12,10,7,3,10,12,17,0.769231,0.545455,0.850000,0.227273,0.772727
13,14,8,7,21,8,22,0.666667,0.363636,0.758621,0.000000,1.000000
14,13,3,7,17,8,16,0.650000,0.380952,0.695652,0.238095,0.761905
15,10,8,9,23,10,18,0.526316,0.500000,0.666667,0.100000,0.900000
16,5,10,3,5,15,15,0.625000,0.750000,0.833333,0.250000,0.750000
17,4,6,3,4,16,10,0.571429,0.800000,0.769231,0.500000,0.500000
18,10,6,4,12,8,16,0.714286,0.444444,0.800000,0.111111,0.888889
19,9,5,3,11,10,14,0.750000,0.526316,0.823529,0.263158,0.736842
20,8,6,4,25,10,14,0.666667,0.555556,0.777778,0.222222,0.777778
21,12,6,9,28,8,18,0.571429,0.400000,0.666667,0.100000,0.900000
22,5,12,6,12,15,17,0.454545,0.750000,0.739130,0.150000,0.850000
23,9,8,10,19,10,17,0.473684,0.526316,0.629630,0.105263,0.894737
24,7,7,2,12,13,14,0.777778,0.650000,0.875000,0.300000,0.700000
25,6,7,2,6,13,13,0.750000,0.684211,0.866667,0.315789,0.684211
26,10,6,6,22,8,16,0.625000,0.444444,0.727273,0.111111,0.888889
27,12,2,8,22,7,14,0.600000,0.368421,0.636364,0.263158,0.736842
28,12,2,7,18,5,14,0.631579,0.294118,0.666667,0.176471,0.823529
29,3,9,1,10,15,12,0.750000,0.833333,0.923077,0.333333,0.666667
30,9,7,10,25,14,16,0.473684,0.608696,0.615385,0.304348,0.695652
31,4,11,1,8,16,15,0.800000,0.800000,0.937500,0.250000,0.750000
32,5,6,0,15,15,11,1.000000,0.750000,1.000000,0.450000,0.550000
33,6,5,4,14,14,11,0.600000,0.700000,0.733333,0.450000,0.550000
34,12,6,8,25,8,18,0.600000,0.400000,0.692308,0.100000,0.900000
35,11,6,5,10,10,17,0.687500,0.476190,0.772727,0.190476,0.809524
36,9,6,3,18,9,15,0.750000,0.500000,0.833333,0.166667,0.833333
37,10,7,5,13,10,17,0.666667,0.500000,0.772727,0.150000,0.850000
38,14,3,5,19,7,17,0.736842,0.333333,0.772727,0.190476,0.809524
39,6,8,4,11,13,14,0.600000,0.684211,0.777778,0.263158,0.736842
40,5,11,2,19,13,16,0.714286,0.722222,0.888889,0.111111,0.888889
41,7,5,6,8,13,12,0.538462,0.650000,0.666667,0.400000,0.600000
42,6,7,2,11,13,13,0.750000,0.684211,0.866667,0.315789,0.684211
43,12,6,3,21,9,18,0.800000,0.428571,0.857143,0.142857,0.857143
44,6,7,6,20,14,13,0.500000,0.700000,0.684211,0.350000,0.650000
45,8,6,6,14,10,14,0.571429,0.555556,0.700000,0.222222,0.777778
46,7,8,8,11,14,15,0.466667,0.666667,0.652174,0.285714,0.714286
47,10,7,11,20,9,17,0.476190,0.473684,0.607143,0.105263,0.894737
48,12,2,2,21,8,14,0.857143,0.400000,0.875000,0.300000,0.700000
49,9,7,6,10,11,16,0.600000,0.550000,0.727273,0.200000,0.800000
50,13,2,7,30,5,15,0.650000,0.277778,0.681818,0.166667,0.833333
51,6,7,2,10,12,13,0.750000,0.666667,0.866667,0.277778,0.722222
52,8,8,7,21,11,16,0.533333,0.578947,0.695652,0.157895,0.842105
53,13,4,6,28,8,17,0.684211,0.380952,0.739130,0.190476,0.809524
54,8,9,2,14,14,17,0.800000,0.636364,0.894737,0.227273,0.772727
55,9,5,4,21,13,14,0.692308,0.590909,0.777778,0.363636,0.636364
56,7,8,5,13,14,15,0.583333,0.666667,0.750000,0.285714,0.714286
57,12,4,18,37,6,16,0.400000,0.333333,0.470588,0.111111,0.888889
58,11,9,5,21,9,20,0.687500,0.450000,0.800000,0.000000,1.000000
59,12,6,7,23,11,18,0.631579,0.478261,0.720000,0.217391,0.782609
60,6,9,4,17,16,15,0.600000,0.727273,0.789474,0.318182,0.681818
61,13,4,8,14,8,17,0.619048,0.380952,0.680000,0.190476,0.809524
62,8,8,5,11,12,16,0.615385,0.600000,0.761905,0.200000,0.800000
63,7,8,3,8,14,15,0.700000,0.666667,0.833333,0.285714,0.714286
64,12,10,14,28,11,22,0.461538,0.478261,0.611111,0.043478,0.956522
65,12,5,2,9,7,17,0.857143,0.368421,0.894737,0.105263,0.894737
66,17,3,4,28,5,20,0.809524,0.227273,0.833333,0.090909,0.909091
67,11,4,2,22,9,15,0.846154,0.450000,0.882353,0.250000,0.750000
68,10,5,13,24,8,15,0.434783,0.444444,0.535714,0.166667,0.833333
69,8,8,3,11,13,16,0.727273,0.619048,0.842105,0.238095,0.761905
70,12,4,9,34,6,16,0.571429,0.333333,0.640000,0.111111,0.888889
71,4,4,1,14,14,8,0.800000,0.777778,0.888889,0.555556,0.444444
72,14,3,13,29,6,17,0.518519,0.300000,0.566667,0.150000,0.850000
73,12,7,16,27,9,19,0.428571,0.428571,0.542857,0.095238,0.904762
74,13,4,20,38,5,17,0.393939,0.277778,0.459459,0.055556,0.944444
75,5,9,2,4,16,14,0.714286,0.761905,0.875000,0.333333,0.666667
76,3,9,1,2,16,12,0.750000,0.842105,0.923077,0.368421,0.631579
77,13,6,11,21,6,19,0.541667,0.315789,0.633333,0.000000,1.000000
78,7,6,3,17,14,13,0.700000,0.666667,0.812500,0.380952,0.619048
79,1,10,3,3,20,11,0.250000,0.952381,0.785714,0.476190,0.523810
80,7,6,3,12,11,13,0.700000,0.611111,0.812500,0.277778,0.722222
81,9,8,2,17,10,17,0.818182,0.526316,0.894737,0.105263,0.894737
82,6,11,6,17,14,17,0.500000,0.700000,0.739130,0.150000,0.850000
83,5,6,3,21,10,11,0.625000,0.666667,0.785714,0.266667,0.733333
84,9,11,10,18,15,20,0.473684,0.625000,0.666667,0.166667,0.833333
85,10,4,3,14,11,14,0.769231,0.523810,0.823529,0.333333,0.666667
86,11,1,11,18,6,12,0.500000,0.352941,0.521739,0.294118,0.705882
87,8,6,8,15,8,14,0.500000,0.500000,0.636364,0.125000,0.875000
88,5,6,4,5,14,11,0.555556,0.736842,0.733333,0.421053,0.578947
89,8,8,5,26,11,16,0.615385,0.578947,0.761905,0.157895,0.842105
90,8,9,2,17,13,17,0.800000,0.619048,0.894737,0.190476,0.809524
91,3,6,1,4,17,9,0.750000,0.850000,0.900000,0.550000,0.450000
92,4,8,5,10,14,12,0.444444,0.777778,0.705882,0.333333,0.666667
93,9,8,7,22,12,17,0.562500,0.571429,0.708333,0.190476,0.809524
94,5,11,1,11,16,16,0.833333,0.761905,0.941176,0.238095,0.761905
95,7,8,4,14,13,15,0.636364,0.650000,0.789474,0.250000,0.750000
96,7,5,6,19,12,12,0.538462,0.631579,0.666667,0.368421,0.631579
97,10,3,5,16,9,13,0.666667,0.473684,0.722222,0.315789,0.684211
98,14,3,8,20,5,17,0.636364,0.263158,0.680000,0.105263,0.894737
99,14,2,10,32,10,16,0.583333,0.416667,0.615385,0.333333,0.666667
100,11,3,6,26,7,14,0.647059,0.388889,0.700000,0.222222,0.777778
101,13,7,15,20,10,20,0.464286,0.434783,0.571429,0.130435,0.869565
102,11,6,6,24,9,17,0.647059,0.450000,0.739130,0.150000,0.850000
103,9,9,6,13,14,18,0.600000,0.608696,0.750000,0.217391,0.782609
104,8,6,0,10,10,14,1.000000,0.555556,1.000000,0.222222,0.777778
105,5,8,5,13,17,13,0.500000,0.772727,0.722222,0.409091,0.590909
106,4,6,4,10,17,10,0.500000,0.809524,0.714286,0.523810,0.476190
107,16,3,4,10,4,19,0.800000,0.200000,0.826087,0.050000,0.950000
108,4,6,0,3,17,10,1.000000,0.809524,1.000000,0.523810,0.476190
109,13,5,4,21,6,18,0.764706,0.315789,0.818182,0.052632,0.947368
110,8,10,14,30,12,18,0.363636,0.600000,0.562500,0.100000,0.900000
111,10,3,4,22,6,13,0.714286,0.375000,0.764706,0.187500,0.812500
112,11,4,6,16,8,15,0.647059,0.421053,0.714286,0.210526,0.789474
113,3,8,2,13,18,11,0.600000,0.857143,0.846154,0.476190,0.523810
114,8,7,1,7,14,15,0.888889,0.636364,0.937500,0.318182,0.681818
115,3,6,0,3,14,9,1.000000,0.823529,1.000000,0.470588,0.529412
116,8,6,5,17,11,14,0.615385,0.578947,0.736842,0.263158,0.736842
117,11,8,4,17,11,19,0.733333,0.500000,0.826087,0.136364,0.863636
118,8,7,3,12,11,15,0.727273,0.578947,0.833333,0.210526,0.789474
119,11,5,9,22,7,16,0.550000,0.388889,0.640000,0.111111,0.888889
120,5,10,0,6,13,15,1.000000,0.722222,1.000000,0.166667,0.833333
121,10,6,3,14,9,16,0.769231,0.473684,0.842105,0.157895,0.842105
122,7,8,5,14,12,15,0.583333,0.631579,0.750000,0.210526,0.789474
123,6,8,3,20,14,14,0.666667,0.700000,0.823529,0.300000,0.700000
124,13,4,12,28,8,17,0.520000,0.380952,0.586207,0.190476,0.809524
125,12,6,8,32,10,18,0.600000,0.454545,0.692308,0.181818,0.818182
126,9,9,10,18,11,18,0.473684,0.550000,0.642857,0.100000,0.900000
127,11,5,5,25,9,16,0.687500,0.450000,0.761905,0.200000,0.800000
128,4,6,2,2,14,10,0.666667,0.777778,0.833333,0.444444,0.555556
129,12,6,5,16,9,18,0.705882,0.428571,0.782609,0.142857,0.857143
130,7,7,9,17,13,14,0.437500,0.650000,0.608696,0.300000,0.700000
131,10,1,8,19,7,11,0.555556,0.411765,0.578947,0.352941,0.647059
132,8,7,4,20,12,15,0.666667,0.600000,0.789474,0.250000,0.750000
133,8,5,3,16,9,13,0.727273,0.529412,0.812500,0.235294,0.764706
134,5,9,1,6,15,14,0.833333,0.750000,0.933333,0.300000,0.700000
135,10,5,13,20,9,15,0.434783,0.473684,0.535714,0.210526,0.789474
136,6,6,1,11,15,12,0.857143,0.714286,0.923077,0.428571,0.571429
137,8,2,2,10,10,10,0.800000,0.555556,0.833333,0.444444,0.555556
138,10,5,7,25,11,15,0.588235,0.523810,0.681818,0.285714,0.714286
139,8,8,1,11,13,16,0.888889,0.619048,0.941176,0.238095,0.761905
140,7,8,2,8,13,15,0.777778,0.650000,0.882353,0.250000,0.750000
141,12,5,3,12,8,17,0.800000,0.400000,0.850000,0.150000,0.850000
142,7,8,3,20,12,15,0.700000,0.631579,0.833333,0.210526,0.789474
143,11,5,5,17,7,16,0.687500,0.388889,0.761905,0.111111,0.888889
144,9,8,4,20,11,17,0.692308,0.550000,0.809524,0.150000,0.850000
145,12,5,5,15,7,17,0.705882,0.368421,0.772727,0.105263,0.894737
146,11,5,6,27,9,16,0.647059,0.450000,0.727273,0.200000,0.800000
147,5,7,2,6,14,12,0.714286,0.736842,0.857143,0.368421,0.631579
148,13,3,2,16,6,16,0.866667,0.315789,0.888889,0.157895,0.842105
149,8,7,7,20,10,15,0.533333,0.555556,0.681818,0.166667,0.833333
150,13,5,7,20,7,18,0.650000,0.350000,0.720000,0.100000,0.900000
151,9,6,4,22,10,15,0.692308,0.526316,0.789474,0.210526,0.789474
152,7,3,2,12,11,10,0.777778,0.611111,0.833333,0.444444,0.555556
153,5,9,4,16,14,14,0.555556,0.736842,0.777778,0.263158,0.736842
154,10,7,6,20,11,17,0.625000,0.523810,0.739130,0.190476,0.809524
155,9,4,3,12,14,13,0.750000,0.608696,0.812500,0.434783,0.565217
156,6,6,2,4,10,12,0.750000,0.625000,0.857143,0.250000,0.750000
157,13,3,4,22,7,16,0.764706,0.350000,0.800000,0.200000,0.800000
158,16,2,15,28,2,18,0.516129,0.111111,0.545455,0.000000,1.000000
159,4,10,0,8,14,14,1.000000,0.777778,1.000000,0.222222,0.777778
